 PPID   PID  PGID   SID TTY      TPGID STAT   UID   TIME COMMAND
    0     2     0     0 ?           -1 S        0   0:00 [kthreadd]
    2     3     0     0 ?           -1 S        0   0:00  \_ [ksoftirqd/0]
    2     5     0     0 ?           -1 S<       0   0:00  \_ [kworker/0:0H]
    2     7     0     0 ?           -1 S        0   0:01  \_ [rcu_sched]
    2     8     0     0 ?           -1 S        0   0:00  \_ [rcuos/0]
    2     9     0     0 ?           -1 S        0   0:00  \_ [rcuos/1]
    2    10     0     0 ?           -1 S        0   0:00  \_ [rcuos/2]
    2    11     0     0 ?           -1 S        0   0:00  \_ [rcuos/3]
    2    12     0     0 ?           -1 S        0   0:00  \_ [rcuos/4]
    2    13     0     0 ?           -1 S        0   0:00  \_ [rcuos/5]
    2    14     0     0 ?           -1 S        0   0:00  \_ [rcuos/6]
    2    15     0     0 ?           -1 S        0   0:00  \_ [rcuos/7]
    2    16     0     0 ?           -1 S        0   0:00  \_ [rcuos/8]
    2    17     0     0 ?           -1 S        0   0:00  \_ [rcuos/9]
    2    18     0     0 ?           -1 S        0   0:00  \_ [rcuos/10]
    2    19     0     0 ?           -1 S        0   0:00  \_ [rcuos/11]
    2    20     0     0 ?           -1 S        0   0:00  \_ [rcuos/12]
    2    21     0     0 ?           -1 S        0   0:00  \_ [rcuos/13]
    2    22     0     0 ?           -1 S        0   0:00  \_ [rcuos/14]
    2    23     0     0 ?           -1 S        0   0:00  \_ [rcuos/15]
    2    24     0     0 ?           -1 S        0   0:00  \_ [rcuos/16]
    2    25     0     0 ?           -1 S        0   0:00  \_ [rcuos/17]
    2    26     0     0 ?           -1 S        0   0:00  \_ [rcuos/18]
    2    27     0     0 ?           -1 S        0   0:00  \_ [rcuos/19]
    2    28     0     0 ?           -1 S        0   0:00  \_ [rcuos/20]
    2    29     0     0 ?           -1 S        0   0:00  \_ [rcuos/21]
    2    30     0     0 ?           -1 S        0   0:00  \_ [rcuos/22]
    2    31     0     0 ?           -1 S        0   0:00  \_ [rcuos/23]
    2    32     0     0 ?           -1 S        0   0:00  \_ [rcuos/24]
    2    33     0     0 ?           -1 S        0   0:00  \_ [rcuos/25]
    2    34     0     0 ?           -1 S        0   0:00  \_ [rcuos/26]
    2    35     0     0 ?           -1 S        0   0:00  \_ [rcuos/27]
    2    36     0     0 ?           -1 S        0   0:00  \_ [rcuos/28]
    2    37     0     0 ?           -1 S        0   0:00  \_ [rcuos/29]
    2    38     0     0 ?           -1 S        0   0:00  \_ [rcuos/30]
    2    39     0     0 ?           -1 S        0   0:00  \_ [rcuos/31]
    2    40     0     0 ?           -1 S        0   0:00  \_ [rcuos/32]
    2    41     0     0 ?           -1 S        0   0:00  \_ [rcuos/33]
    2    42     0     0 ?           -1 S        0   0:00  \_ [rcuos/34]
    2    43     0     0 ?           -1 S        0   0:00  \_ [rcuos/35]
    2    44     0     0 ?           -1 S        0   0:00  \_ [rcuos/36]
    2    45     0     0 ?           -1 S        0   0:00  \_ [rcuos/37]
    2    46     0     0 ?           -1 S        0   0:00  \_ [rcuos/38]
    2    47     0     0 ?           -1 S        0   0:00  \_ [rcuos/39]
    2    48     0     0 ?           -1 S        0   0:00  \_ [rcuos/40]
    2    49     0     0 ?           -1 S        0   0:00  \_ [rcuos/41]
    2    50     0     0 ?           -1 S        0   0:00  \_ [rcuos/42]
    2    51     0     0 ?           -1 S        0   0:00  \_ [rcuos/43]
    2    52     0     0 ?           -1 S        0   0:00  \_ [rcuos/44]
    2    53     0     0 ?           -1 S        0   0:00  \_ [rcuos/45]
    2    54     0     0 ?           -1 S        0   0:00  \_ [rcuos/46]
    2    55     0     0 ?           -1 S        0   0:00  \_ [rcuos/47]
    2    56     0     0 ?           -1 S        0   0:00  \_ [rcuos/48]
    2    57     0     0 ?           -1 S        0   0:00  \_ [rcuos/49]
    2    58     0     0 ?           -1 S        0   0:00  \_ [rcuos/50]
    2    59     0     0 ?           -1 S        0   0:00  \_ [rcuos/51]
    2    60     0     0 ?           -1 S        0   0:00  \_ [rcuos/52]
