F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  1117 poll_s ?        00:00:08 init
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 smpboo ?        00:00:02 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:0H
1 S     0     7     2  0  80   0 -     0 rcu_gp ?        00:00:09 rcu_sched
1 S     0     8     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_bh
1 S     0     9     2  0 -40   - -     0 smpboo ?        00:00:00 migration/0
5 S     0    10     2  0 -40   - -     0 smpboo ?        00:00:30 watchdog/0
5 S     0    11     2  0 -40   - -     0 smpboo ?        00:00:03 watchdog/1
1 S     0    12     2  0 -40   - -     0 smpboo ?        00:00:00 migration/1
1 S     0    13     2  0  80   0 -     0 smpboo ?        00:00:02 ksoftirqd/1
1 S     0    15     2  0  60 -20 -     0 worker ?        00:00:00 kworker/1:0H
1 S     0    16     2  0  60 -20 -     0 rescue ?        00:00:00 khelper
5 S     0    17     2  0  80   0 -     0 devtmp ?        00:00:00 kdevtmpfs
1 S     0    18     2  0  60 -20 -     0 rescue ?        00:00:00 netns
1 S     0    19     2  0  60 -20 -     0 rescue ?        00:00:00 writeback
1 S     0    20     2  0  60 -20 -     0 rescue ?        00:00:00 kintegrityd
1 S     0    21     2  0  60 -20 -     0 rescue ?        00:00:00 bioset
1 S     0    22     2  0  60 -20 -     0 worker ?        00:00:00 kworker/u17:0
1 S     0    23     2  0  60 -20 -     0 rescue ?        00:00:00 kblockd
1 S     0    24     2  0  60 -20 -     0 rescue ?        00:00:00 ata_sff
1 S     0    25     2  0  80   0 -     0 hub_th ?        00:00:00 khubd
1 S     0    26     2  0  60 -20 -     0 rescue ?        00:00:00 md
1 S     0    27     2  0  60 -20 -     0 rescue ?        00:00:00 devfreq_wq
